name,lifespan,weight,lap_cat,intelligence,ease_of_training,grooming_requirements,shedding,good_with_children,good_with_dogs,chattiness,history,behavior,look,grooming,nutritrional_needs,fun_facts
Chartreux,12 - 15 years,6 - 14 pounds,1,4,4,4,5,4,4,1,"Its origins remain uncertain, but the Chartreux is believed to date back to the 13 th Century from what is now Syria and brought to France by Crusaders who became Carthusian monks. French folklore touts that this breed was named for the world-renown yellow and green Chartreuse liquors made by the Carthusian monks. The first three Chartreux cats was brought to the United States in 1971 by Helen and John Gamon, of La Jolla, Calif., who led the effort to popularize the breed in this country. There are fewer than two dozen active Chartreux breeders throughout Canada and the United States. The Cat Fanciers Association, granted championship status to this breed in 1987.","Stocky in size but quiet in voice, the Chartreux quietly watches his surroundings and is a quick learner. Some are able to turn on radios, lights and open doors. Very dog-like in devotion, this breed tends to bond with one person in the home and follow them from room to room. However, they are generous with their affection to others as well. This breed has earned a reputation through the centuries as being a superb hunter, particularly of mice. This breed is mellow and adapts to new surroundings and makes for a good travel companion. When conflicts arise, this cat prefers to leave the scene rather than be confrontational.","This breed sports wooly, dense blue-grey top coat and a thick undercoat. You will be immediately drawn to this cat's gigantic, beckoning eyes of copper or gold as well as its sweet smile. Full cheeks, straight nose and round ears. The body is big and strong with oversized paws and fine-boned legs. Females weigh between 6 and 9 pounds and are medium in size while males tend to weigh between 10 and 14 pounds and are large in size. The Chartreux takes up to three or four years to fully reach physical maturity.","Its dense, double coat benefits by weekly brushing to prevent matts.  In the fall and spring, when shedding is worst, brushing should occur two to three times a week. Rarely needs a bath, but if one is necessary, be aware that it will be challenging to completely wet this water-resistant coat.","This breed tends to be sensitive to rich food or changes in the diet, so work with your veterinarian on selecting the right quality commercial food. Adult Chartreux are not as active and can become overweight.","The Chartreux tradition calls for all kittens born in a given year to be named with a specific letter of the alphabet for that particular year. Breeders use only 20 letters, skipping K, Q, W, X, Y, and Z. For example, 2008 is a ""D"" year. Fondly nicknamed ""a potato on toothpicks"" due to its big, broad body and finely boned legs. The late French general and president Charles de Gaulle was once a proud owner of this cat breed."
Cornish Rex,15 - 20 years,6 - 8 pounds,3,5,5,1,1,4,4,4,"Considered a natural mutation, the first Cornish Rex kitten had a strange, curly fur and was born to a farm cat in the early 1950s in Cornwall, England. When this kitten matured, he was mated back to his mother and the result was a litter containing two kittens with the distinctive curly coat. Ranks as the oldest of the Rex breeds, ahead of the Devon and Selkirk. The Cornish Rex earned championship status by the Cat Fanciers Association in 1964.","Curious and clown-like, the Cornish Rex thrives on entertaining people. Extremely athletic and agile. Possesses kitten-like energy well into adulthood. Definitely puts the ""P"" in play. This breed loves to be picked up and handled. Overly helpful, this breed will insist on helping you type on the computer keyboard or even venture into the bathroom to help you put on makeup. Seems to be on two speeds: fast and stop.","This breed's crinkly, wavy coat is short and lies close to the body. The coat is velvety soft, resembling rabbit fur or silk. Its unmistakable look is showcased by oversized ears contrasted by a small, delicate, oval-shaped head with high cheekbones. The delicate-looking, fine-boned body features solid muscles and an arched back. Look closely and you will see that even the whiskers are curled. The coat comes in more than 40 colors and patterns, including white, red, chinchilla silver, lavender smoke and mackerel pattern. Distinguished from its close cousin, the Devon by its lack of guard hairs and Romanesque nose.","The breed's short coat is ideal because of low shedding. Due to its lack of a thick coat, the Cornish Rex is always on the prowl to seek out a safe, heat source to keep warm. Clip claws once a month. Benefits from regular baths. Once wet, its thin-haired coat dries quickly.","Despite its small size, the Cornish Rex has a demanding appetite. Some will eat every single morsel in a food bowl in a single sitting. Due to its high energy level, this breed can free feed with minimal concern for becoming overweight. Many Cornish Rexes are fond of vegetables, including broccoli and peas.","Also known by three popular nicknames: ""Con Artist in Fur, ""The Feline Version of a Whippet"" and ""Feline Invaders from Outer Space."" Despite the popular myth, the Cornish Rex is not a hypoallergenic breed."
Devon Rex,15 - 20 years,7 - 12 pounds,3,5,5,1,1,4,5,5,"The breed originated in 1960 in Devon, England as the suspected result of a spontaneous mutation. A curly-coated, brownish-black kitten named Kirlee was born in a litter of straight-haired kittens by a stray calico. The Devon Rex arrived a decade after its more popular cousin, the Cornish Rex. The first Devon Rexes arrived in the United States in 1968. Accepted by every major cat breed registry, including the Cat Fanciers Association and The International Cat Association.","Fondness for surveying the scene from high perches like shoulders and the tops of doors. More apt to give you a body hug than sit calmly in your lap. Keep tabs on this cat because it tends to slip in tight, narrow places like behind your sofa or refrigerator. Capable of emitting extremely loud purrs when content. Highly trainable and needs - and wants - to perform tasks and basic commands. Without suitable outlets for their high energies, they may resort to swinging like monkeys on drapes and blinds. Love to be loved and hate to be bored.","This breed i s all about the ears. Its gigantic, bat-like ears set low on the sides of its pixie-looking face. Its head is wedge-shaped, unlike the Cornish Rex who has an egg-shaped head. Its coat comes in every feline color or pattern and ranges from thin, suede-like feel to full and wavy coat. Its small to medium-framed body is deceptively muscular and strong. Its hind legs are slightly longer than the front legs. The face is dominated by giant oval eyes and prominent cheekbones and whisker pads. Despite claims, this breed is not hypo-allergenic. However, its coat sheds less than most cats.","Regarded as a ""wash-and-wear"" breed that requires minimal grooming care because its thin, fine hair is not at risk for developing mats. Stroke the coat with chamois leather or your hands to spread the natural oils in the coat Periodically clean the ears to prevent wax buildup. Wipe down using a cat-safe baby wipe or a warm, damp washcloth.","Serve high-quality food high in antioxidants and protein. Avoid diets containing corn, wheat, dairy or by products. Brush the teeth or provide special dental chew treats to control plaque. Be aware the Devon likes to sneak food and has an appetite that seems to exceed its stature.","Sports two very different nicknames: ""Dennis the Menace"" due to its got-to-play-now nature and the ""Poodle who purrs"" due to its dog-like friendliness and high intelligence. By eight weeks of age, the coats usually molt or thin out. Noted for wagging their tails and chortling when praised or in happy moods."
Domestic Long Hair,12 - 18 years,11 - 22 pounds,2,4,3,5,5,3,3,3,"Sports a medium-sized build. The coats are long and fluffy. The coats come in many colors and patterns. Common ones include smoke, tabby and tortie. Face shapes vary as do eye colors.",This breed's coat is prone to mats and requires daily brushing. Devotes above-average time each day to keeping its coat clean and tangle-free. Inspect coat regularly for any heavy-matted fur that can lead to skin infections. Do not cut out matted fur because you risk cutting the skin. Seek help from a professional cat groomer. Not a good candidate for spending time outdoors due to its high-maintenance coat. Clip its claws once a month. Requires regular baths to keep its coat in top condition.,"This large breed is prone to obesity, so rely on measuring food portions to keep this cat at a healthy weight. Benefits by a high-quality commercial diet. Provide fresh water daily.","The Domestic Long Hair is the same breed as the Domestic Short Hair and the Domestic Medium with the only difference the length of the coat. Nicknamed the ""American Long Hair"" cat. Believed to serve as the basis for the launch of specific purebreds, including the American Shorthair.","Features thick, double-coated fur.","Features short, sleek fur Some DSH resemble the American Shorthair, a breed recognized by the Cat Fanciers Association."
Egyptian Mau,18 - 20 years,6 - 14 pounds,1,4,4,1,1,3,2,4,"Archaeologists have discovered cats in the tombs of ancient Egyptians that look a lot like the Egyptian Mau of today. Regarded as one of the oldest domesticated cat breeds, the Mau may be related to a spotted subspecies of the African Wild Cat. The American lineage of Egyptian Maus can be traced back to the cattery belonging to exile Russian Princess Nathalie Troubetskoy, who came to the United States in 1956. The Cat Fanciers Association first recognized this breed for cat show competition in 1968.","Ranks as one of the most athletic and agile cat breeds. Maus are capable of leaping six feet in the air from a standing position and running up to 30 miles per hour. You need to play with them daily to unleash their pent up energy. Maus are often regarded as being aloof because they take their time in forming friendships with people and other pets. They tend to be even tempered and aware of everything that is going on around them. They are very loyal and devoted to their favorite people and will display their affection in dog-like ways - such as waiting at the door to greet you when you come home and bringing you a toy to start playtime or chirp or chortle at you to get your attention if they notice something happening like a bird on the feeder or a spider crawling on the kitchen floor. They can develop friendships with other family pets, but need to do so on their timetable and terms. They are not readily receptive to interacting with non-resident pets.","Easily mistaken for an Ocicat or even a Bengal, the Egyptian Mau sports natural spots not only on the coat, but the skin, too. The main difference is that Maus are smaller than these two breeds. The Mau displays a lithe, athletic body, wedge-shaped head, almond-shaped gooseberry colored eyes and a coat that comes in silver, bronze and smoke colors. Maus take up to two years before reaching physical maturity.","Easy, minimally shedding coat benefits by being wiped down once a week with a slightly damp washcloth to retain its shine.",Their high-energy nature enables them to burn off calories This breed does not have any special nutritional needs.,"The word, Mau, means ""cat"" or ""sun"" in Egyptian. The Egyptian Mau competes with the Abyssinian for bragging rights as being the most direct descendant of ancient Egyptian cats. The head stripes on this breed resemble a scarab beetle, regarded as Egypt's holy beetle that was often touted as a symbol of the sun."
Exotic Shorthair,12 - 15 years,9 - 12 pounds,5,3,3,3,3,2,2,1,"A relative newcomer to the world of cat breeds, the Exotic came about by accident when breeders mated American Shorthairs with Persians in the early 1960s. The originally proposed name for this new breed was to be Sterling due to their beautiful silver color, but the term, Exotic, was accepted instead. In 1967, the Exotic was formally recognized as a breed by the Cat Fanciers Association and is now accepted in every major cat breed registry in the shorthaired variety.","Mellow and calm temperament, best suited for quiet households and apartment dwellings. A perfect breed for active people who like the look of Persians but don't have time to deal with the high grooming needs. Politely seeks attention of its favorite people. Males tend to be more interactive with people than the more aloof females. Very quiet, emitting occasional squeaky meows. Enjoys nesting on laps and occasionally, perching on shoulders. Moderate in ability to learn basic commands and tricks.","Mellow and calm temperament, best suited for quiet households and apartment dwellings. A perfect breed for active people who like the look of Persians but don't have time to deal with the high grooming needs. Politely seeks attention of its favorite people. Males tend to be more interactive with people than the more aloof females. Very quiet, emitting occasional squeaky meows. Enjoys nesting on laps and occasionally, perching on shoulders. Moderate in ability to learn basic commands and tricks.","Likes to maintain a coat free of tangles and mats. Requires less grooming than Persians - weekly brushing should suffice. Due to its flat face, the Exotic is prone to overflowing tears that lead to staining under the eyes.","Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have greater risk of obesity based upon their diet, metabolism and age. Thus, your veterinarian is your best source for information on this topic.","Also known as the ""Lazy Man's Persian"" because its shorter coat requires less maintenance than the most popular breed. This breed remains playful well into its adult years."
Havana Brown,15 - 20 years,6 - 12 pounds,3,3,3,2,2,4,4,2,"Historical records from the late 1800s describe Siamese-like chestnut-colored cats in what is now Thailand, but it has not been proven that they were Havana Browns. Attempts to create an all-brown cat proved more challenging than anticipated. Professional breeders had tried since the late 1800s, but did not achieve this feat until possibly in the 1930s in Great Britain. Allegedly, the breed got its start when a Seal Point Siamese was mated with a black shorthaired cat to create the first litter of all-brown kittens. Controversy surrounded this brown cat when the British Siamese Cat Club blocked it from competition until 1952 when a team of breeders mated Siamese with Russian Blues and black domestic shorthairs to officially create the Havana Brown breed. All North American Havana Browns can trace their lineage to a male cat named Roofspringer Mahogany Quinn from the mid-1950s. The CFA granted championship status to the Havana Brown in 1959.","Have Havana, will travel. This breed easily adapts to traveling in cars, planes and boats. Not very chatty. Tends to converse by sweetly chirping and trilling rather than meowing demandingly. If you're looking for s cat with a balanced temperament, the Havana Brown is an excellent choice. It is not too energetic and not too docile. This breed welcomes the company of children, other cats and dogs. This breed thrives in an active, multi-species household. Smart and curious, the Havana Brown is known for examining objects by holding it with both paws.","Have Havana, will travel. This breed easily adapts to traveling in cars, planes and boats. Not very chatty. Tends to converse by sweetly chirping and trilling rather than meowing demandingly. If you're looking for s cat with a balanced temperament, the Havana Brown is an excellent choice. It is not too energetic and not too docile. This breed welcomes the company of children, other cats and dogs. This breed thrives in an active, multi-species household. Smart and curious, the Havana Brown is known for examining objects by holding it with both paws.","Its short, glossy coat is smooth","Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have greater risk of obesity based upon their diet, metabolism and age. Thus, your veterinarian is your best source for information on this topic.","The name Havana Brown came out of the fact that the coat color matches the hue of a fine Havana cigar. A Havana Brown must sport brown whiskers - not white - to be considered for contention at a professional cat show. This is the only breed to cater to this requirement. Goes by the nickname, ""Swiss Mountain Cat."""
Himalayan,15 - 18 years,9 - 12 pounds,5,4,3,5,5,3,3,1,"Himalayan cats owe their origins to responsible breeders who carefully crossbred two popular breeds: Persians to Siamese to create a new hybrid breed with Siamese point coloring and a Persian's long hair. A British breeder named Brian Sterling-Webb devoted 10 years to create a longhaired color point cat and earned breed recognition from the Governing Council of Cat Fancy in 1955. Two years later, Marguerita Goforth, a California breeder, successfully petitioned the Cat Fanciers Association to recognize the Himalayan as a new breed. CFA recognized four Himalayan colors - seal point, chocolate point, blue point and lilac point. In 1966, the first Himalayan earned a CFA grand championship title. In 1984, the CFA combined the Himalayan and Persian breeds, making the Himalayan a separate division of the Persian breed, which ranks No. 1 in popularity among its 41 recognized breeds.","This gentle, quiet, sweet-tempered breed is a little more active than Persians and a little less active than Siamese. They welcome playtime, but also enjoy warming laps. Himalayans are intelligent and polite, especially when meeting houseguests. They are not overly vocal, but speak more in a melodious tone than a demanding meow. This breed, when properly introduced, co-exists nicely with other cats and dogs. Himalayans prefer being ""four on the floor"" type cats rather than climbing up on high places or leaping.","This breed's head features a round face, big, round blue eyes, small, round-tipped ears, short, snub nose and a well-developed chin. The cobby type body is heavily boned with sturdy, short thick legs, round paws and a short tail that is in proportion to its body length. The long, fluffy coat is thick and of fine texture. The body is white or cream, however the points come in a wide range of solid colors or tabby or tortoiseshell patterns. Flame points and tortoiseshell points rank as them most popular Himalayan looks.",Himalayans require daily brushing to keep their longhaired coats from developing tangles and mats. You also need to wipe the face daily with a damp washcloth to prevent eye tear staining.,"This breed has no special nutritional needs, but benefits by being fed high-quality commercial diets.","A Himalayan named Mr. Jinx was the feline star in the movies, Meet the Parents and Meet the Fockers that starred Robert DeNiro and Ben Stiller. This breed is a popular choice in many other Hollywood flicks, including Date Movie , Homeward Bound and Prince of Tennis . Martha Stewart owns seven Himalayan cats, all named after famous composers. Also known as colorpoint Persians in Europe and affectionately as ""Himmy"" worldwide."
Japanese Bobtail,15 - 18 years,5 - 10 pounds,3,4,3,3,3,3,4,4,"Believed to originate in the Far East, specifically China, about 1,000 years ago. In the 7 th Century, the Emperor of China presented the Emperor of Japan with Japanese Bobtails as gifts. The Japanese revered this breed until the early 1600s when rodents were destroying silkworms and the country's lucrative silk industry. So, all Japanese Bobtails were booted out of the castles and into the streets to deal with the rodent problem. T he first three Japanese Bobtails to reach American soil were imported by Elizabeth Freret from Japan in 1968. The shorthaired Japanese Bobtail earned championship status by the Cat Fanciers Association in 1976 and the longhaired version achieved this status in 1993.","Smart, devoted, affectionate and confident. Like to carry objects in their mouths and ride on people's shoulders. Enjoys interacting with people and conversing in a song-like tone that includes soft meows and chirp sounds. Best suited when paired with other pets and living in an active household. They don't like being left home alone and tend to be the leader among the family pets. Natural athletes and strong-willed, they need to play daily and unleash their energy to keep out of trouble. They know how to open doors and steal food off plates or counters. They welcome learning commands and tricks and are fond of playing fetch and chasing feather wand toys.","The most noticeable feature on a Japanese Bobtail is the lack of a tail - or a stumpy one. This abbreviated tail is a genetic mutation caused by the expression of a recessive gene and is not regarded as a genetic disorder. The back end looks like a fluffy pompon. The medium-sized body is long, lean and elegant with refined boning. Look carefully and you will notice that the front legs are shorter than the back ones. The head is triangular-shaped and the eyes are oval-shaped and can come in green, golden, blue and odd-eyed. The coat comes in short or long hair and feels silky to the touch. It comes in many colors and patterns, but the most popular look is called Mi-ke (""three fur""), a tri-colored coat of white with red and black splotches.","Grooming requirements depend on if your Japanese Bobtail has a short or long coat. Fortunately, both are single-coated that benefit by brushing every few days to remove dead hair.","Prone to begging and overeating, so you need to measure food portions and control caloric intake to prevent behavior problems or obesity.","The Japanese Bobtail represents the traditional Japanese symbol of good luck. Known as the maneki-neko (""beckoning cat""), statues of a Japanese Bobtail seated with one paw raised is commonly found inside Japanese stores and restaurants. This breed yields small litters, no more than four kittens."
Javanese,12 - 15 years,8 - 15 pounds,3,4,4,1,1,3,3,5,"This breed was created to be a longhaired version of the popular Siamese. However, it is still ranked among the rarest of cat breeds. The CFA granted championship status to the Javanese in 1986.","Expect some feline sass from your Javanese who loves to talk back when spoken to. This is definitely a chatty cat. This breed is big on household routines, which explains why you may be ""scolded"" if you serve a late dinner. This cat does not enjoy being left home alone. The Javanese can be a bit of true ""cat"" burglar because of its tendency to open cabinets and drawers with its talented paws and look for treasures to take. Although a bit toned down from the Siamese, the Javanese is less likely to get into trouble out of curious-fueled boredom in your home if you add a second cat or a dog to keep him company. Smart and eager to learn tricks, the Javanese can draw admiration for its athleticism, especially leaping and fetching abilities. The higher the better seems to be the Javanese motto as this breed enjoys perching on tall shelves and riding on people's shoulders.","Expect some feline sass from your Javanese who loves to talk back when spoken to. This is definitely a chatty cat. This breed is big on household routines, which explains why you may be ""scolded"" if you serve a late dinner. This cat does not enjoy being left home alone. The Javanese can be a bit of true ""cat"" burglar because of its tendency to open cabinets and drawers with its talented paws and look for treasures to take. Although a bit toned down from the Siamese, the Javanese is less likely to get into trouble out of curious-fueled boredom in your home if you add a second cat or a dog to keep him company. Smart and eager to learn tricks, the Javanese can draw admiration for its athleticism, especially leaping and fetching abilities. The higher the better seems to be the Javanese motto as this breed enjoys perching on tall shelves and riding on people's shoulders.","Its short, low-fuss coat is mat-free and ranks among the lowest of shedding among the feline breeds, including the Siamese.","Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have a greater risk of obesity based upon their diet, metabolism, activity and age. Thus, your veterinarian is your best source for information on this topic.","Goes by the nickname, ""The Lazy Man's Longhair."" These very vocal cats are known for ""chattiness"" for no apparent reason."
Korat,9 - 15 years,6 - 10 pounds,3,5,5,2,2,2,1,4,"Officially recognized by the government of Thailand as a national treasure. According to an ancient manuscript, Cat-Book Poems , the Korat was created in the 1300s in Siam (now Thailand). The Korat were valued as wedding gifts and were trained to check for scorpions before babies were placed in cribs during ancient Siam days. King Rama V was especially a big admirer of Korats and ordered state funerals whenever one of his favorite Korats died. First pair of Korats arrived in the United States in the 1950s, brought back by a couple serving in the Foreign Service in Thailand. In the late 1960s, military returning from serving tours of duty in the Vietnam War brought back more Korats. The Korat, one of the oldest and purest of breeds, garnered championship status by the Cat Fanciers Association in 1966.","Extremely bonded to their family and home. Known for extreme intelligence and problem-solving skills. Capable of learning specific words and engaging in conversations using a variety of expressive sounds. Very curious and dexterous, capable of pawing open cabinet doors. Prefers quiet households and being catered to by his people. Can be a bit cautious, which can be misconstrued as being aloof. Likes to be the one-and-only pet and can be territorial and bossy toward other pets in the home.","Extremely bonded to their family and home. Known for extreme intelligence and problem-solving skills. Capable of learning specific words and engaging in conversations using a variety of expressive sounds. Very curious and dexterous, capable of pawing open cabinet doors. Prefers quiet households and being catered to by his people. Can be a bit cautious, which can be misconstrued as being aloof. Likes to be the one-and-only pet and can be territorial and bossy toward other pets in the home.","The Korat's single coat lies flat and does not have a downy undercoat that causes matting, so little grooming is required.","Please consult with your veterinarian about the type of diet and amount to feed your cat during their different life stages.  Different breeds may have a greater risk of obesity based upon their diet, metabolism, activity and age. Thus, your veterinarian is your best source for information on this topic.","Also referred to as the Si-Sawat in Thailand, the Korat is nicknamed the ""Good Luck Cat."" According to Thai legend, the Korat's good luck increases if there is a kink in the tail. Thai tradition holds that a pair of Korats bestowed to a bride on her wedding day guarantees a happy marriage."
